dataset_id,cell_count,unique_cell_types,tissues,diseases,tissue_general_query,collection_name,collection_doi,dataset_title,dataset_h5ad_path,dataset_total_cell_count
0041b9c3-6a49-4bf7-8514-9bc7190067a7,0,0,,,blood;brain;intestine;kidney;liver;lung,Tabula Sapiens,10.1126/science.abl4896,Tabula Sapiens - Skin,0041b9c3-6a49-4bf7-8514-9bc7190067a7.h5ad,17786
00476f9f-ebc1-4b72-b541-32f912ce36ea,0,0,,,blood;brain;intestine;kidney;liver;lung,Human Brain Cell Atlas v1.0,10.1126/science.add7046,Dissection: Hypothalamus (HTH) - mammillary region of HTH (HTHma),00476f9f-ebc1-4b72-b541-32f912ce36ea.h5ad,10099
00593d17-0693-4646-acad-89dbefba11bb,0,0,,,blood;brain;intestine;kidney;liver;lung,Human subcutaneous and visceral adipocyte atlases uncover classical and non-classical adipocytes and depot-specific patterns,10.1038/s41588-024-02048-3,Differentiation path from ASPCs to adipocytes in visceral adipose tissue double filtration (Scrublet & DoubletFinder) pipeline,00593d17-0693-4646-acad-89dbefba11bb.h5ad,29078
0087cde2-967d-4f7c-8e6e-40e4c9ad1891,5399,1,brain,normal,blood;brain;intestine;kidney;liver;lung,HVS: Human variation study,10.1126/science.adf2359,L6ITCar3 - neocortex: Human variation study (HVS),0087cde2-967d-4f7c-8e6e-40e4c9ad1891.h5ad,5399
00e5dedd-b9b7-43be-8c28-b0e5c6414a62,0,0,,,blood;brain;intestine;kidney;liver;lung,Single-cell transcriptomic atlas for adult human retina,10.1016/j.xgen.2023.100298,Photoreceptor cells in human retina (rod cells downsampled),00e5dedd-b9b7-43be-8c28-b0e5c6414a62.h5ad,21422
00f15b43-f871-46d8-8105-814387ad8658,0,0,,,blood;brain;intestine;kidney;liver;lung,Chromatin accessibility during human first-trimester neurodevelopment,10.1038/s41586-024-07234-1,All_Neuron_Peptidergic,00f15b43-f871-46d8-8105-814387ad8658.h5ad,7092
00ff600e-6e2e-4d76-846f-0eec4f0ae417,0,0,,,blood;brain;intestine;kidney;liver;lung,Single-cell analysis of human B cell maturation predicts how antibody class switching shapes selection dynamics,10.1126/sciimmunol.abe6291,Human tonsil nonlymphoid cells scRNA,00ff600e-6e2e-4d76-846f-0eec4f0ae417.h5ad,363
01209dce-3575-4bed-b1df-129f57fbc031,28684,6,blood;lung,normal,blood;brain;intestine;kidney;liver;lung,Single-cell transcriptomics of human T cells reveals tissue and activation signatures in health and disease,10.1038/s41467-019-12464-3,Single-cell transcriptomics of human T cells reveals tissue and activation signatures in health and disease,01209dce-3575-4bed-b1df-129f57fbc031.h5ad,51876
0129dbd9-a7d3-4f6b-96b9-1da155a93748,0,0,,,blood;brain;intestine;kidney;liver;lung,Single-cell transcriptomic atlas for adult human retina,10.1016/j.xgen.2023.100298,All major cell types in adult human retina,0129dbd9-a7d3-4f6b-96b9-1da155a93748.h5ad,244474
015c230d-650c-4527-870d-8a805849a382,0,0,,,blood;brain;intestine;kidney;liver;lung,Transcriptomic cytoarchitecture reveals principles of human neocortex organization,10.1126/science.adf6812,Dissection: Middle temporal gyrus (MTG),015c230d-650c-4527-870d-8a805849a382.h5ad,148374
019c7af2-c827-4454-9970-44d5e39ce068,0,0,,,blood;brain;intestine;kidney;liver;lung,A proximal-to-distal survey of healthy adult human small intestine and colon epithelium by single-cell transcriptomics,10.1016/j.jcmgh.2022.02.007,A proximal-to-distal survey of healthy adult human small intestine and colon epithelium by single-cell transcriptomics,019c7af2-c827-4454-9970-44d5e39ce068.h5ad,12590
01ad3cd7-3929-4654-84c0-6db05bd5fd59,600929,11,blood,COVID-19;normal;respiratory system disorder,blood;brain;intestine;kidney;liver;lung,Type I interferon autoantibodies are associated with systemic immune alterations in patients with COVID-19,10.1126/scitranslmed.abh2624,Type I interferon autoantibodies are associated with systemic immune alterations in patients with COVID-19,01ad3cd7-3929-4654-84c0-6db05bd5fd59.h5ad,600929
01b84709-139c-4485-98a9-6e14c58fbbf6,0,0,,,blood;brain;intestine;kidney;liver;lung,Multimodal single-cell profiling reveals neuronal vulnerability and pathological cell states in focal cortical dysplasia,10.1016/j.isci.2024.111337,snRNA-seq data from eight focal cortical dysplasia donors,01b84709-139c-4485-98a9-6e14c58fbbf6.h5ad,61525
01c93cf6-b695-4e30-a26e-121ae8b16a9e,3726,8,blood,COVID-19,blood;brain;intestine;kidney;liver;lung,Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,10.1016/j.immuni.2021.03.005,66 years old female - Fresh PBMCs (7 days post-intubation),01c93cf6-b695-4e30-a26e-121ae8b16a9e.h5ad,3726
02474d5c-7faa-4567-80f8-56abc0a1df62,0,0,,,blood;brain;intestine;kidney;liver;lung,The cellular and molecular cardiac tissue responses in human inflammatory cardiomyopathies after SARS-CoV-2 infection and COVID-19 vaccination,10.1038/s44161-025-00612-6,Lymphocytes from human cardiac tissue with myocarditis and healthy controls,02474d5c-7faa-4567-80f8-56abc0a1df62.h5ad,4016
02792605-4760-4023-82ad-40fc4458a5db,65396,27,liver,primary biliary cholangitis;primary sclerosing cholangitis,blood;brain;intestine;kidney;liver;lung,Single-cell and spatial transcriptomics characterisation of the immunological landscape in the healthy and PSC human liver,10.1016/j.jhep.2023.12.023,All cells types from scRNA-seq of human primary sclerosing cholangitis patients and healthy controls,02792605-4760-4023-82ad-40fc4458a5db.h5ad,89637
03181d87-4769-41e7-8c39-d9a81835f0d2,0,0,,,blood;brain;intestine;kidney;liver;lung,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,10.1038/s41593-024-01774-5,Sst - DLPFC: Seattle Alzheimer's Disease Atlas (SEA-AD),03181d87-4769-41e7-8c39-d9a81835f0d2.h5ad,75706
0325478a-9b52-45b5-b40a-2e2ab0d72eb1,0,0,,,blood;brain;intestine;kidney;liver;lung,Human Brain Cell Atlas v1.0,10.1126/science.add7046,Supercluster: Upper-layer intratelencephalic,0325478a-9b52-45b5-b40a-2e2ab0d72eb1.h5ad,455006
0374f03c-62e2-4859-8a14-acb00b0627d5,0,0,,,blood;brain;intestine;kidney;liver;lung,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,10.1038/s41593-024-01774-5,Chandelier - DLPFC: Seattle Alzheimer's Disease Atlas (SEA-AD),0374f03c-62e2-4859-8a14-acb00b0627d5.h5ad,15412
03c544fb-a103-4d18-9230-eae9cfee3af2,0,0,,,blood;brain;intestine;kidney;liver;lung,Cellular heterogeneity of human fallopian tubes in normal and hydrosalpinx disease states identified by scRNA-seq,10.1101/2021.09.16.460628,scRNA-seq analysis of stromal cells of healthy human fallopian tubes,03c544fb-a103-4d18-9230-eae9cfee3af2.h5ad,28691
03d38670-1444-4001-bc53-9936e61d9b20,0,0,,,blood;brain;intestine;kidney;liver;lung,Human Brain Cell Atlas v1.0,10.1126/science.add7046,"Dissection: Hypothalamus (HTH) - preoptic region of HTH - HTHpo (medial preoptic nucleus, MPN) - supraoptic region of HTH - HTHso (paraventricular nucleus, PV)",03d38670-1444-4001-bc53-9936e61d9b20.h5ad,20027
03d5794d-cde9-4769-a1a9-b3899d2b1d87,0,0,,,blood;brain;intestine;kidney;liver;lung,Single-cell RNA sequencing unifies developmental programs of Esophageal and Gastric Intestinal Metaplasia,10.1158/2159-8290.cd-22-0824,UMAP of Plasma and B-Cells cells,03d5794d-cde9-4769-a1a9-b3899d2b1d87.h5ad,9015
0436a180-cb44-47ba-8ffa-807b7a468469,0,0,,,blood;brain;intestine;kidney;liver;lung,A cell atlas of the human fallopian tube throughout the menstrual cycle and menopause,10.1038/s41467-024-55440-2,Fallopian tube samples from pre- and post-menopausal humans,0436a180-cb44-47ba-8ffa-807b7a468469.h5ad,131218
04557650-a691-4306-a56c-232fbfeb236c,0,0,,,blood;brain;intestine;kidney;liver;lung,Profiling of epithelial functional states and fibroblast phenotypes in hormone therapy-naïve localised prostate cancer,10.1101/2024.10.23.619925,Single-cell atlas of 24 hormone therapy naive localised prostate cancers -- Cycling subset,04557650-a691-4306-a56c-232fbfeb236c.h5ad,268
04a23820-ffa8-4be5-9f65-64db15631d1e,0,0,,,blood;brain;intestine;kidney;liver;lung,Human Brain Cell Atlas v1.0,10.1126/science.add7046,Supercluster: Upper rhombic lip,04a23820-ffa8-4be5-9f65-64db15631d1e.h5ad,137162
04b0eb97-d816-44bb-93a5-8b2968791aa0,0,0,,,blood;brain;intestine;kidney;liver;lung,Spatiotemporal analysis of human intestinal development at single-cell resolution,10.1016/j.cell.2020.12.016,Spatiotemporal analysis of human intestinal development at single-cell resolution: Pericytes,04b0eb97-d816-44bb-93a5-8b2968791aa0.h5ad,4163
04c0bdd8-840f-488e-b72d-2a1229bc65db,0,0,,,blood;brain;intestine;kidney;liver;lung,A cell atlas of human thymic development defines T cell repertoire formation,10.1126/science.aay3224,Human Thymic Epithelial Cells - A cell atlas of human thymic development defines T cell repertoire formation,04c0bdd8-840f-488e-b72d-2a1229bc65db.h5ad,18524
04c94a7d-1133-42c9-bb48-c697bd302a8d,0,0,,,blood;brain;intestine;kidney;liver;lung,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,10.1038/s41593-024-01774-5,Pvalb - DLPFC: Seattle Alzheimer's Disease Atlas (SEA-AD),04c94a7d-1133-42c9-bb48-c697bd302a8d.h5ad,116142
04d87de6-c20a-4186-8884-f47dba20b0a4,0,0,,,blood;brain;intestine;kidney;liver;lung,A single-cell and spatially resolved atlas of human breast cancers,10.1038/s41588-021-00911-1,A single-cell and spatially-resolved atlas of human breast cancers - B_cells,04d87de6-c20a-4186-8884-f47dba20b0a4.h5ad,3206
055ca631-6ffb-40de-815e-b931e10718c0,0,0,,,blood;brain;intestine;kidney;liver;lung,A Web Portal and Workbench for Biological Dissection of Single Cell COVID-19 Host Responses,10.1016/j.isci.2021.103115,Individual Single-Cell RNA-seq PBMC Data from Wilk et al.,055ca631-6ffb-40de-815e-b931e10718c0.h5ad,41305
059022cf-885a-4ef8-944b-d9e5381aa1c6,0,0,,,blood;brain;intestine;kidney;liver;lung,Comprehensive cell atlas of the first-trimester developing human brain,10.1126/science.adf1226,ClassGlioblast,059022cf-885a-4ef8-944b-d9e5381aa1c6.h5ad,132420
05a49baa-d326-42ae-86d2-94de3a659901,0,0,,,blood;brain;intestine;kidney;liver;lung,HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment,10.1038/s41591-024-03215-z,HTAPP-853-SMP-4381 scRNA-seq,05a49baa-d326-42ae-86d2-94de3a659901.h5ad,4742
064fa88b-78dc-4edd-b9cd-bcc16964c81e,0,0,,,blood;brain;intestine;kidney;liver;lung,The cellular and molecular cardiac tissue responses in human inflammatory cardiomyopathies after SARS-CoV-2 infection and COVID-19 vaccination,10.1038/s44161-025-00612-6,Cardiomyocytes from human cardiac tissue with myocarditis and healthy controls,064fa88b-78dc-4edd-b9cd-bcc16964c81e.h5ad,90273
066943a2-fdac-4b29-b348-40cede398e4e,0,0,,,blood;brain;intestine;kidney;liver;lung,The integrated Human Lung Cell Atlas,10.1038/s41591-023-02327-2,An integrated cell atlas of the human lung in health and disease (core),066943a2-fdac-4b29-b348-40cede398e4e.h5ad,584944
06b91002-4d3d-4d2e-8484-20c3b31e232c,0,0,,,blood;brain;intestine;kidney;liver;lung,Molecular characterization of selectively vulnerable neurons in Alzheimer's Disease,10.1038/s41593-020-00764-7,Molecular characterization of selectively vulnerable neurons in Alzheimer’s Disease: EC astrocytes,06b91002-4d3d-4d2e-8484-20c3b31e232c.h5ad,5500
06ef6b36-6c9b-4e10-8a94-d0baf274276e,0,0,,,blood;brain;intestine;kidney;liver;lung,Single nucleus and spatial transcriptomic profiling of human healthy hamstring tendon,10.1096/fj.202300601RRR,Single nucleus transcriptomic profiling of human healthy hamstring tendon,06ef6b36-6c9b-4e10-8a94-d0baf274276e.h5ad,10533
07428d73-fdea-4bd4-a801-94b00c4d961c,0,0,,,blood;brain;intestine;kidney;liver;lung,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,10.1038/s41593-024-01774-5,L5 ET - MTG: Seattle Alzheimer's Disease Atlas (SEA-AD),07428d73-fdea-4bd4-a801-94b00c4d961c.h5ad,2590
07574da2-6bd3-4708-a04d-27d95c009f4e,0,0,,,blood;brain;intestine;kidney;liver;lung,Single-cell integration reveals metaplasia in inflammatory gut diseases,10.1038/s41586-024-07571-1,Extended - Small intestine (adult/pediatric)- 18485genes,07574da2-6bd3-4708-a04d-27d95c009f4e.h5ad,221900
07760522-707a-4a1c-8891-dbd1226d6b27,0,0,,,blood;brain;intestine;kidney;liver;lung,Single-cell genomic profiling of human dopamine neurons identifies a population that selectively degenerates in Parkinson’s disease,10.1038/s41593-022-01061-1,Human Astrocytes 10x scRNA-seq,07760522-707a-4a1c-8891-dbd1226d6b27.h5ad,33506
07854d9c-5375-4a9b-ac34-fa919d3c3686,0,0,,,blood;brain;intestine;kidney;liver;lung,An atlas of healthy and injured cell states and niches in the human kidney,10.1038/s41586-023-05769-3,Single-nucleus RNA-seq of the Adult Human Kidney (Version 1.0),07854d9c-5375-4a9b-ac34-fa919d3c3686.h5ad,172847
07b1d7c8-5c2e-42f7-9246-26f746cd6013,0,0,,,blood;brain;intestine;kidney;liver;lung,Human Brain Cell Atlas v1.0,10.1126/science.add7046,Dissection: Myelencephalon (medulla oblongata) (Mo) - afferent nuclei of cranial nerves in medulla oblongata - MoAN,07b1d7c8-5c2e-42f7-9246-26f746cd6013.h5ad,27210
07dd8c34-4625-480a-8ee4-273a06c3082b,0,0,,,blood;brain;intestine;kidney;liver;lung,Single-nucleus transcriptome analysis reveals cell-type-specific molecular signatures across reward circuitry in the human brain,10.1016/j.neuron.2021.09.001,DLPFC region,07dd8c34-4625-480a-8ee4-273a06c3082b.h5ad,11202
08073b32-d389-41f4-a4fd-616de76915ab,0,0,,,blood;brain;intestine;kidney;liver;lung,Spatiotemporal immune zonation of the human kidney,10.1126/science.aat5031,Fetal kidney dataset: nephron,08073b32-d389-41f4-a4fd-616de76915ab.h5ad,10790
0895c838-e550-48a3-a777-dbcd35d30272,0,0,,,blood;brain;intestine;kidney;liver;lung,"Single-Cell, Single-Nucleus, and Spatial RNA Sequencing of the Human Liver Identifies Cholangiocyte and Mesenchymal Heterogeneity",10.1002/hep4.1854,Healthy human liver: B cells,0895c838-e550-48a3-a777-dbcd35d30272.h5ad,146
090da8ea-46e8-40df-bffc-1f78e1538d27,0,0,,,blood;brain;intestine;kidney;liver;lung,Human Brain Cell Atlas v1.0,10.1126/science.add7046,Dissection: Spinal cord - SpC,090da8ea-46e8-40df-bffc-1f78e1538d27.h5ad,24190
0920bcb8-4b3a-4e9d-a353-56f529fd3b32,0,0,,,blood;brain;intestine;kidney;liver;lung,Cellular and transcriptional diversity over the course of human lactation,10.1073/pnas.2121720119,Cellular and transcriptional diversity over the course of human lactation,0920bcb8-4b3a-4e9d-a353-56f529fd3b32.h5ad,48478
093d3bfe-6f0f-4ac0-a7a1-829f94d0a49f,69711,56,lung,normal,blood;brain;intestine;kidney;liver;lung,A spatially resolved atlas of the human lung characterizes a gland-associated immune niche,10.1038/s41588-022-01243-4,All cells and nuclei,093d3bfe-6f0f-4ac0-a7a1-829f94d0a49f.h5ad,193108
095940cb-7422-4510-96e2-cbafd961eb88,0,0,,,blood;brain;intestine;kidney;liver;lung,Human Brain Cell Atlas v1.0,10.1126/science.add7046,Dissection: Cerebellum (CB) - Cerebellar deep nuclei - CbDN,095940cb-7422-4510-96e2-cbafd961eb88.h5ad,52045
09b518f9-da64-44cc-aec8-70a89d55611f,0,0,,,blood;brain;intestine;kidney;liver;lung,Multimodal benchmarking dataset for renal cortex characterization (mBDRC),10.1101/2025.03.06.637075,multimodal benchmarking dataset for renal cortex characterization - multiome only (fragment files included),09b518f9-da64-44cc-aec8-70a89d55611f.h5ad,37717
0a21f80c-e7a3-465b-8aba-fdda2b4c36bc,0,0,,,blood;brain;intestine;kidney;liver;lung,A cell atlas of human thymic development defines T cell repertoire formation,10.1126/science.aay3224,Human T cells - A cell atlas of human thymic development defines T cell repertoire formation,0a21f80c-e7a3-465b-8aba-fdda2b4c36bc.h5ad,76994
0a2d7e87-c3c0-4ed2-86df-ae18811fcc16,0,0,,,blood;brain;intestine;kidney;liver;lung,Deciphering glial contributions to CSF1R-related disorder via single-nuclear transcriptomic profiling,10.1186/s40478-024-01853-5,Full Dataset,0a2d7e87-c3c0-4ed2-86df-ae18811fcc16.h5ad,61747
0a8e3443-c3e2-4918-84db-0495657d9175,1234234,38,blood,cytomegalovirus infection,blood;brain;intestine;kidney;liver;lung,Multi-omic profiling reveals age-related immune dynamics in healthy adults,10.1038/s41586-025-09686-5,"Sound Life Young Adult Females, CMV-positive",0a8e3443-c3e2-4918-84db-0495657d9175.h5ad,1234234
0ae6f031-2f9c-4247-8b26-db320d6efd32,7750,10,blood,normal,blood;brain;intestine;kidney;liver;lung,Comparative Analysis of Commercial Single-Cell RNA Sequencing Technologies,10.1093/nar/gkae1186,Fluent-rep2,0ae6f031-2f9c-4247-8b26-db320d6efd32.h5ad,7750
0b4a15a7-4e9e-4555-9733-2423e5c66469,48783,28,kidney,normal,blood;brain;intestine;kidney;liver;lung,HCA kidney seed network: University of Michigan,,Single cell RNA-seq data from normal adult kidney tissue,0b4a15a7-4e9e-4555-9733-2423e5c66469.h5ad,48783
0b75c598-0893-4216-afe8-5414cab7739d,0,0,,,blood;brain;intestine;kidney;liver;lung,An atlas of healthy and injured cell states and niches in the human kidney,10.1038/s41586-023-05769-3,Integrated Single-nucleus and Single-cell RNA-seq of the Adult Human Kidney,0b75c598-0893-4216-afe8-5414cab7739d.h5ad,304652
0ba16f4b-cb87-4fa3-9363-19fc51eec6e7,0,0,,,blood;brain;intestine;kidney;liver;lung,A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates,10.1016/j.cell.2022.11.005,Myeloid,0ba16f4b-cb87-4fa3-9363-19fc51eec6e7.h5ad,6947
0ba636a1-4754-4786-a8be-7ab3cf760fd6,0,0,,,blood;brain;intestine;kidney;liver;lung,Human breast cell atlas,10.1038/s41588-024-01688-9,HBCA - global,0ba636a1-4754-4786-a8be-7ab3cf760fd6.h5ad,803283
0bae7ebf-eb54-46a6-be9a-3461cecefa4c,27675,18,kidney,normal,blood;brain;intestine;kidney;liver;lung,Healthy living donor kidney,10.1038/s41467-022-35297-z,Living donor kidney,0bae7ebf-eb54-46a6-be9a-3461cecefa4c.h5ad,27675
0bc7235a-ae5a-479d-a487-510435377e55,0,0,,,blood;brain;intestine;kidney;liver;lung,"Cortical brain samples from C9-ALS, C9-ALS/FTD, C9-FTD patients and age matched controls",10.1007/s00401-023-02599-5,"Occipital cortex samples from C9-ALS, C9-ALS/FTD and age matched control brains",0bc7235a-ae5a-479d-a487-510435377e55.h5ad,120807
0bf30b02-db97-4560-b9cd-0fe3588892af,0,0,,,blood;brain;intestine;kidney;liver;lung,Immune Response mechanisms in the cerebrospinal fluid in leptomeningeal disease at single cell resolution,10.1101/2025.01.27.634744,Immune Response mechanisms in the cerebrospinal fluid in leptomeningeal disease at single cell resolution,0bf30b02-db97-4560-b9cd-0fe3588892af.h5ad,72695
0c0c49a2-b96b-432f-98a4-1decf9929149,1322061,38,blood,cytomegalovirus infection,blood;brain;intestine;kidney;liver;lung,Multi-omic profiling reveals age-related immune dynamics in healthy adults,10.1038/s41586-025-09686-5,"Sound Life Older Adult Males, CMV-positive",0c0c49a2-b96b-432f-98a4-1decf9929149.h5ad,1322061
0c86f0de-ddcb-454c-b00b-37feb69e7da1,0,0,,,blood;brain;intestine;kidney;liver;lung,A single-cell and spatially resolved atlas of human breast cancers,10.1038/s41588-021-00911-1,A single-cell and spatially-resolved atlas of human breast cancers - Plasmablasts,0c86f0de-ddcb-454c-b00b-37feb69e7da1.h5ad,3524
0c9a8cfb-6649-4d52-b418-6d8e56bd7afe,832,2,liver,normal,blood;brain;intestine;kidney;liver;lung,Single-cell and spatial transcriptomics characterisation of the immunological landscape in the healthy and PSC human liver,10.1016/j.jhep.2023.12.023,Cholangiocytes from human healthy donor liver samples,0c9a8cfb-6649-4d52-b418-6d8e56bd7afe.h5ad,1011
0caedec7-1c7d-4e79-aba2-50f6916e643f,0,0,,,blood;brain;intestine;kidney;liver;lung,MSK SPECTRUM – Ovarian cancer mutational processes drive site-specific immune evasion,10.1038/s41586-022-05496-1,MSK SPECTRUM - Macrophages,0caedec7-1c7d-4e79-aba2-50f6916e643f.h5ad,166895
0ced5e76-6040-47ff-8a72-93847965afc0,0,0,,,blood;brain;intestine;kidney;liver;lung,Tabula Sapiens,10.1126/science.abl4896,Tabula Sapiens - Thymus,0ced5e76-6040-47ff-8a72-93847965afc0.h5ad,42729
0d2ee4ac-05ee-40b2-afb6-ebb584caa867,0,0,,,blood;brain;intestine;kidney;liver;lung,Tabula Sapiens,10.1126/science.abl4896,Tabula Sapiens - Lung,0d2ee4ac-05ee-40b2-afb6-ebb584caa867.h5ad,65847
0d3807bf-97f0-4ec5-9611-15ada507f0df,0,0,,,blood;brain;intestine;kidney;liver;lung,Single-cell integration reveals metaplasia in inflammatory gut diseases,10.1038/s41586-024-07571-1,Extended - Stomach,0d3807bf-97f0-4ec5-9611-15ada507f0df.h5ad,70090
0d7f4c06-a6bd-47d2-a42b-3a7196704f77,0,0,,,blood;brain;intestine;kidney;liver;lung,Human Brain Cell Atlas v1.0,10.1126/science.add7046,Supercluster: Vascular,0d7f4c06-a6bd-47d2-a42b-3a7196704f77.h5ad,9932
0de831e0-a525-4ec5-b717-df56f2de2bf0,6133,1,brain,normal,blood;brain;intestine;kidney;liver;lung,HVS: Human variation study,10.1126/science.adf2359,L56NP - neocortex: Human variation study (HVS),0de831e0-a525-4ec5-b717-df56f2de2bf0.h5ad,6133
0e9d47fb-89b1-42d8-b426-2c7630b5f5fa,0,0,,,blood;brain;intestine;kidney;liver;lung,A spatially resolved atlas of the human lung characterizes a gland-associated immune niche,10.1038/s41588-022-01243-4,Airway epithelial cells,0e9d47fb-89b1-42d8-b426-2c7630b5f5fa.h5ad,29505
0eccaf0c-19d2-4900-9962-899378adf8be,0,0,,,blood;brain;intestine;kidney;liver;lung,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,10.1038/s41593-024-01774-5,Pax6 - DLPFC: Seattle Alzheimer's Disease Atlas (SEA-AD),0eccaf0c-19d2-4900-9962-899378adf8be.h5ad,9446
0ecea697-0f69-4d40-88e1-7f854e17e2b3,0,0,,,blood;brain;intestine;kidney;liver;lung,Molecular Signatures of Resilience to Alzheimer’s Disease in Neocortical Layer 4 Neurons,10.1101/2024.11.03.621787,Inhibitory,0ecea697-0f69-4d40-88e1-7f854e17e2b3.h5ad,79294
0ed60482-a34f-4268-b576-d69cc30210f6,0,0,,,blood;brain;intestine;kidney;liver;lung,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,10.1038/s41593-024-01774-5,Lamp5 - DLPFC: Seattle Alzheimer's Disease Atlas (SEA-AD),0ed60482-a34f-4268-b576-d69cc30210f6.h5ad,55968
0ee5ae70-c3f5-473f-bd1c-287f4690ffc5,0,0,,,blood;brain;intestine;kidney;liver;lung,Human Brain Cell Atlas v1.0,10.1126/science.add7046,Dissection: Myelencephalon (medulla oblongata) (Mo) - sensory relay nuclei in medulla oblongata - MoSR,0ee5ae70-c3f5-473f-bd1c-287f4690ffc5.h5ad,13623
0f4865d5-8000-4f68-8ac7-f5efea9e5e70,0,0,,,blood;brain;intestine;kidney;liver;lung,The landscape of immune dysregulation in Crohn’s disease revealed through single-cell transcriptomic profiling in the ileum and colon,10.1016/j.immuni.2023.01.002,TI stromal,0f4865d5-8000-4f68-8ac7-f5efea9e5e70.h5ad,75695
0fdb6122-4600-40f0-a703-2da47cc7080d,0,0,,,blood;brain;intestine;kidney;liver;lung,Pathogenic variants damage cell composition and single cell transcription in cardiomyopathies,10.1126/science.abo1984,DCM/ACM heart cell atlas: Lymphoids,0fdb6122-4600-40f0-a703-2da47cc7080d.h5ad,16878
1009f384-b12d-448e-ba9f-1b7d2ecfbb4e,0,0,,,blood;brain;intestine;kidney;liver;lung,Cells of the adult human heart,10.1038/s41586-020-2797-4,Neuronal — Cells of the adult human heart,1009f384-b12d-448e-ba9f-1b7d2ecfbb4e.h5ad,3961
100c6145-7b0e-4ba6-81c1-ffebed0d1ac4,0,0,,,blood;brain;intestine;kidney;liver;lung,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,10.1038/s41593-024-01774-5,Microglia-PVM - DLPFC: Seattle Alzheimer's Disease Atlas (SEA-AD),100c6145-7b0e-4ba6-81c1-ffebed0d1ac4.h5ad,42486
105c7dad-0468-4628-a5be-2bb42c6a8ae4,0,0,,,blood;brain;intestine;kidney;liver;lung,Single-cell transcriptomes from human kidneys reveal the cellular identity of renal tumors,10.1126/science.aat1699,mature,105c7dad-0468-4628-a5be-2bb42c6a8ae4.h5ad,40268
1062c0f2-2a44-4cf9-a7c8-b5ed58b4728d,0,0,,,blood;brain;intestine;kidney;liver;lung,Pathogenic variants damage cell composition and single cell transcription in cardiomyopathies,10.1126/science.abo1984,DCM/ACM heart cell atlas: Endothelial cells,1062c0f2-2a44-4cf9-a7c8-b5ed58b4728d.h5ad,115548
11622d58-4dfe-4a81-b3d2-c4cabbfd636a,0,0,,,blood;brain;intestine;kidney;liver;lung,Human subcutaneous and visceral adipocyte atlases uncover classical and non-classical adipocytes and depot-specific patterns,10.1038/s41588-024-02048-3,snRNA-seq of human adipose tissue - adipocytes from subcutaneous and visceral adipose integrated,11622d58-4dfe-4a81-b3d2-c4cabbfd636a.h5ad,27665
1185a7d3-a9c1-4280-9ba5-d61895b15cac,0,0,,,blood;brain;intestine;kidney;liver;lung,Human Brain Cell Atlas v1.0,10.1126/science.add7046,Dissection: Amygdaloid complex (AMY) - corticomedial nuclear group - CMN,1185a7d3-a9c1-4280-9ba5-d61895b15cac.h5ad,38331
1196334f-a441-474a-95ee-400780941690,0,0,,,blood;brain;intestine;kidney;liver;lung,Cell atlas of the human ocular anterior segment: Tissue-specific and shared cell types,10.1073/pnas.2200914119,Ciliary Body,1196334f-a441-474a-95ee-400780941690.h5ad,34132
11a3244a-6b2f-43ca-95a5-d2cd95c482d2,0,0,,,blood;brain;intestine;kidney;liver;lung,A single-cell and spatially resolved atlas of human breast cancers,10.1038/s41588-021-00911-1,A single-cell and spatially-resolved atlas of human breast cancers - Myeloid,11a3244a-6b2f-43ca-95a5-d2cd95c482d2.h5ad,9675
11ae668a-88c2-4d86-ba08-524fe576a882,0,0,,,blood;brain;intestine;kidney;liver;lung,Multimodal profiling reveals tissue-directed signatures of human immune cells altered with age,10.1038/s41590-025-02241-4,Immune aging project - myeloid cell subset,11ae668a-88c2-4d86-ba08-524fe576a882.h5ad,225268
11ef37ee-2173-458e-aab8-7fe35da8e47b,0,0,,,blood;brain;intestine;kidney;liver;lung,Single-cell transcriptomic atlas for adult human retina,10.1016/j.xgen.2023.100298,Horizontal cells in human retina,11ef37ee-2173-458e-aab8-7fe35da8e47b.h5ad,7348
11ff73e8-d3e4-4445-9309-477a2c5be6f6,0,0,,,blood;brain;intestine;kidney;liver;lung,Integrated scRNA-Seq Identifies Human Postnatal Thymus Seeding Progenitors and Regulatory Dynamics of Differentiating Immature Thymocytes,10.1016/j.immuni.2020.03.019,Single-Cell Transcriptome Profiling of Immature Human Thymocytes,11ff73e8-d3e4-4445-9309-477a2c5be6f6.h5ad,71732
